TABLE,ROW_COUNT,RLS_ENABLED,FORCE_RLS,AUTH_GRANT_SELECT,AUTH_GRANT_INSERT,AUTH_GRANT_UPDATE,AUTH_GRANT_DELETE,POLICY,EFFECTIVE_AUTH_WRITE,SENSITIVITY,WRITTEN_BY_AUTHENTICATED_ROLE_CODE,FIX_GROUP
products,1530,true,false,YES,YES,YES,YES,authenticated_all_products [ALL] + products_authenticated_all [ALL] both using=true check=true,INSERT|UPDATE|DELETE,HIGH,"YES - enrich/actions.ts UPDATE; health/actions.ts DELETE; platforms/actions.ts UPDATE",F
product_images,2644,true,false,YES,YES,YES,YES,authenticated_all_product_images [ALL] using=true check=true,INSERT|UPDATE|DELETE,MEDIUM,NO (admin client),B
channel_products,5596,true,false,YES,YES,YES,YES,authenticated_all_channel_products [ALL] using=true check=true,INSERT|UPDATE|DELETE,HIGH,YES - channels/actions.ts INSERT,F
platform_status,6120,true,false,YES,YES,YES,YES,platform_status_all [ALL] using=true check=true,INSERT|UPDATE|DELETE,MEDIUM,"YES - availability-actions.ts UPSERT; platforms/actions.ts UPSERT",F
platform_snapshots,7797,true,false,YES,YES,YES,YES,platform_snapshots_insert [INSERT] check=true + platform_snapshots_select [SELECT] using=true,INSERT only,LOW,NO,D
staff_tasks,1580,true,false,YES,YES,YES,YES,staff_tasks owner full access [ALL] using=true check=true,INSERT|UPDATE|DELETE,MEDIUM,NO (admin client),F
malak_audit,1188,true,false,YES,YES,YES,YES,malak_audit_auth_all [ALL] using=true check=true,INSERT|UPDATE|DELETE,HIGH,NO,EXCLUDED-ACC-04
product_archive,395,true,false,YES,YES,YES,YES,product_archive owner full access [ALL] using=true check=true,INSERT|UPDATE|DELETE,MEDIUM,NO (admin client),B
brands,38,true,false,YES,YES,YES,YES,authenticated_all_brands [ALL] using=true check=true,INSERT|UPDATE|DELETE,LOW,NO,B
shelf_slots,33,true,false,YES,YES,YES,YES,shelf_slots_rw [ALL] using=true check=true,INSERT|UPDATE|DELETE,LOW,NO,C
product_categories,17,true,false,YES,YES,YES,YES,authenticated_all_product_categories [ALL] using=true check=true,INSERT|UPDATE|DELETE,LOW,NO,B
export_runs,10,true,false,YES,YES,YES,YES,export_runs_insert [INSERT] check=true + export_runs_select [SELECT] using=true,INSERT only,LOW,NO,D
pure_seoul_status,8,true,false,YES,YES,YES,YES,ps_status_all [ALL] using=true check=true,INSERT|UPDATE|DELETE,LOW,NO,C
channels,5,true,false,YES,YES,YES,YES,authenticated_all_channels [ALL] using=true check=true,INSERT|UPDATE|DELETE,MEDIUM,NO,B
