SCHEMA,TABLE,EXPOSED_THROUGH_DATA_API,RLS_ENABLED,FORCE_RLS,GRANTS_TO_ANON,GRANTS_TO_AUTHENTICATED,POLICY_NAME,POLICY_COMMAND,POLICY_ROLES,USING_EXPRESSION,WITH_CHECK_EXPRESSION,PERMISSIVE_OR_RESTRICTIVE
public,agent_logs,YES,true,false,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,authenticated_all_agent_logs,ALL,{authenticated},true,true,PERMISSIVE
public,app_settings,YES,true,false,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,(NO POLICY - RLS DENIES ALL),-,-,-,-,-
public,brands,YES,true,false,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,authenticated_all_brands,ALL,{authenticated},true,true,PERMISSIVE
public,channel_products,YES,true,false,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,authenticated_all_channel_products,ALL,{authenticated},true,true,PERMISSIVE
public,channel_variant_mappings,YES,true,false,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,channel_variant_mappings_select,SELECT,{authenticated},true,-,PERMISSIVE
public,channels,YES,true,false,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,authenticated_all_channels,ALL,{authenticated},true,true,PERMISSIVE
public,compliance_log,YES,true,false,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,compliance_log_read_authenticated,SELECT,{authenticated},true,-,PERMISSIVE
public,compliance_rules,YES,true,false,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,compliance_rules_read_authenticated,SELECT,{authenticated},true,-,PERMISSIVE
public,customers,YES,true,false,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,authenticated_all_customers,ALL,{authenticated},true,true,PERMISSIVE
public,dm_conversations,YES,true,false,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,(NO POLICY - RLS DENIES ALL),-,-,-,-,-
public,dm_messages,YES,true,false,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,(NO POLICY - RLS DENIES ALL),-,-,-,-,-
public,expenses,YES,true,false,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,authenticated_all_expenses,ALL,{authenticated},true,true,PERMISSIVE
public,export_runs,YES,true,false,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,export_runs_insert,INSERT,{authenticated},-,true,PERMISSIVE
public,export_runs,YES,true,false,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,export_runs_select,SELECT,{authenticated},true,-,PERMISSIVE
public,external_channel_listings,YES,true,false,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,ecl_select,SELECT,{authenticated},true,-,PERMISSIVE
public,import_batches,YES,true,false,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,authenticated_all_import_batches,ALL,{authenticated},true,true,PERMISSIVE
public,inventory,YES,true,false,NONE,SELECT,inventory_meta_update,UPDATE,{authenticated},true,true,PERMISSIVE
public,inventory,YES,true,false,NONE,SELECT,inventory_select,SELECT,{authenticated},true,-,PERMISSIVE
public,kpi_snapshots,YES,true,false,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,(NO POLICY - RLS DENIES ALL),-,-,-,-,-
public,loop_log,YES,true,false,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,loop_log_read_authenticated,SELECT,{authenticated},true,-,PERMISSIVE
public,loop_state,YES,true,false,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,loop_state_read_authenticated,SELECT,{authenticated},true,-,PERMISSIVE
public,loyalty_customers,YES,true,false,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,(NO POLICY - RLS DENIES ALL),-,-,-,-,-
public,loyalty_prizes,YES,true,false,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,(NO POLICY - RLS DENIES ALL),-,-,-,-,-
public,loyalty_submissions,YES,true,false,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,(NO POLICY - RLS DENIES ALL),-,-,-,-,-
public,malak_audit,YES,true,false,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,malak_audit_auth_all,ALL,{authenticated},true,true,PERMISSIVE
public,marketing_posts,YES,true,false,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,authenticated_all_marketing_posts,ALL,{authenticated},true,true,PERMISSIVE
public,orders,YES,true,false,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,authenticated_all_orders,ALL,{authenticated},true,true,PERMISSIVE
public,platform_snapshots,YES,true,false,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,platform_snapshots_insert,INSERT,{authenticated},-,true,PERMISSIVE
public,platform_snapshots,YES,true,false,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,platform_snapshots_select,SELECT,{authenticated},true,-,PERMISSIVE
public,platform_status,YES,true,false,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,platform_status_all,ALL,{authenticated},true,true,PERMISSIVE
public,product_archive,YES,true,false,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,product_archive owner full access,ALL,{authenticated},true,true,PERMISSIVE
public,product_categories,YES,true,false,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,authenticated_all_product_categories,ALL,{authenticated},true,true,PERMISSIVE
public,product_images,YES,true,false,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,authenticated_all_product_images,ALL,{authenticated},true,true,PERMISSIVE
public,product_variants,YES,true,false,NONE,SELECT,product_variants_meta_update,UPDATE,{authenticated},true,true,PERMISSIVE
public,product_variants,YES,true,false,NONE,SELECT,product_variants_select,SELECT,{authenticated},true,-,PERMISSIVE
public,products,YES,true,false,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,authenticated_all_products,ALL,{authenticated},true,true,PERMISSIVE
public,products,YES,true,false,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,products_authenticated_all,ALL,{authenticated},true,true,PERMISSIVE
public,pure_seoul_status,YES,true,false,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,ps_status_all,ALL,{authenticated},true,true,PERMISSIVE
public,push_subscriptions,YES,true,false,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,(NO POLICY - RLS DENIES ALL),-,-,-,-,-
public,rafeeq_email_deliveries,YES,true,false,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,(NO POLICY - RLS DENIES ALL),-,-,-,-,-
public,rafeeq_package_items,YES,true,false,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,rafeeq_package_items_select,SELECT,{authenticated},true,-,PERMISSIVE
public,rafeeq_package_jobs,YES,true,false,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,(NO POLICY - RLS DENIES ALL),-,-,-,-,-
public,rafeeq_packages,YES,true,false,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,rafeeq_packages_select,SELECT,{authenticated},true,-,PERMISSIVE
public,shelf_slots,YES,true,false,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,shelf_slots_rw,ALL,{authenticated},true,true,PERMISSIVE
public,shelf_stock,YES,true,false,NONE,SELECT,shelf_stock_select,SELECT,{authenticated},true,-,PERMISSIVE
public,shopify_synced_orders,YES,true,false,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,(NO POLICY - RLS DENIES ALL),-,-,-,-,-
public,shopify_tokens,YES,true,false,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,(NO POLICY - RLS DENIES ALL),-,-,-,-,-
public,snoonu_sync_audits,YES,true,false,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,(NO POLICY - RLS DENIES ALL),-,-,-,-,-
